id,en,ja,de,fr
3385,skeleton,こっかくひょうほん,Skelett,squelette
3386,school desk,がっこうのつくえ,Schultisch,pupitre
3387,podium,こうえんだい,Lehrerpult,bureau de professeur
3388,basic teacher's desk,きょうたく,Schulpult,bureau du prof
3389,hamster cage,ハムスターのかご,Hamsterkäfig,cage à hamster
3390,globe,ちきゅうぎ,Globus,globe terrestre
3391,TV camera,テレビカメラ,Fernsehkamera,caméra de télévision
3392,campfire,たきび,Lagerfeuer,feu de camp
3393,bonfire,キャンプファイア,Feuerstelle,feu de joie
3394,lantern,ランタン,Laterne,lanterne
3395,campfire cookware,はんごう,Camping-Kochkessel,casserole de camping
3396,sleeping bag,シュラフ,Schlafsack,sac de couchage
3397,asteroid,いんせき,Asteroiden,astéroïde
3398,lunar lander,ちゃくりくせん,Landefähre,module lunaire
3399,rocket,ロケット,Rakete,fusée
3400,lunar rover,げつめんいどうしゃ,Mondfahrzeug,véhicule lunaire
3401,satellite,じんこうえいせい,Raumsonde,satellite
3402,space shuttle,スペースシャトル,Raumfähre,navette spatiale
3403,astronaut suit,アストロノーツ,Astronautenanzug,spationaute
3404,flying saucer,そらとぶえんばん,UFO,soucoupe volante
3405,cello,チェロ,Cello,violoncelle
3406,weight bench,プレスベンチ,Hantelbank,banc de muscu
3407,judge's bell,ゴング,Rundengong,gong
3408,dolly,おにんぎょう,Püppchen,poupée
3409,Papa bear,くまのダイちゃん,Papa-Bär,papa ours
3410,Mama bear,くまのナミちゃん,Mama-Bär,maman ours
3411,Baby bear,くまのチビちゃん,Baby-Bär,bébé ours
3412,giant teddy bear,くまのトクダイちゃん,Riesenteddy,nounours géant
3413,teacup ride,まわるコーヒーカップ,Drehkaffeetasse,manège tasses à café
3414,robot hero,ヒーローロボ,Heldenroboter,robot géant
3415,wooden-block bed,つみきベッド,Bauklotzbett,lit blocs de bois
3416,wooden-block bookshelf,つみきブックシェルフ,Bauklotzbücherregal,bibliothèque blocs de bois
3417,wooden-block bench,つみきベンチ,Bauklotzbank,banc blocs de bois
3418,wooden-block chest,つみきチェスト,Bauklotzregal,commode blocs de bois
3419,wooden-block table,つみきテーブル,Bauklotztisch,table blocs de bois
3420,oil barrel,ドラムかん,Ölfasses,baril de pétrole
3421,exercise ball,バランスボール,Gymnastikball,ballon de gymnastique
3422,serving cart,サービングカート,Servierwagen,chariot de service
3423,hammock,ハンモック,Hängematte,hamac
3424,lawn chair,ビニールチェア,Gartenstuhl,chaise de plage
3425,garden gnome,ノームのおきもの,Gartenzwerg,nain de jardin
3426,iron garden bench,アイアンガーデンベンチ,Romantikgartenbank,banc de jardin fer
3427,iron garden chair,アイアンガーデンチェア,Romantikgartenstuhl,chaise de jardin fer
3428,iron garden table,アイアンガーデンテーブル,Romantikgartentisch,table de jardin fer
3429,garden lantern,ガーデンライト,Gartenlaterne,lampe de jardin
3430,garden faucet,ウォータービュー,Gartenwasserhahn,robinet de jardin
3431,golf bag,ゴルフバッグ,Profi-Golftasche,sac de golf
3432,rock guitar,エレキギターES1,Rock-Gitarre,guitare rock
3433,electric guitar,エレキギターES2,Jazz-Gitarre,guitare jazz
3434,matryoshka,マトリョーシカ,Matroschka,série matriochka
3435,cassette player,ダブルラジカセ,Kassettenrekorder,lecteur de cassettes
3436,wall clock,ウォールクロック,Wanduhr,horloge murale
3437,document stack,しょるいのやま,Dokumentenstapel,pile de documents
3438,aroma pot,アロマポット,Duftlampe,brûle-parfum
3439,claw-foot tub,ねこあしバスタブ,Badewanne,baignoire à pieds
3440,stack of books,つまれたほん,Bücherstapel,pile de livres
3441,clothesline pole,ものほしざお,Wäscheleine,étendoir
3442,table with cloth,クロスつきテーブル,Tischdeckentisch,table nappée
3443,corkboard,コルクボード,Pinnwand,tableau en liège
3444,cushion,クッション,Kissen,coussin
3445,decoy duck,デコイ,Deko-Ente,faux canard
3446,dinnerware,しょっき,Geschirrset,ensemble vaisselle
3447,doghouse,いぬごや,Hundehütte,niche
3448,drink machine,じはんき,Getränkeautomat,distributeur de boissons
3449,drum set,ドラムセット,Schlagzeug,batterie classique
3450,electric bass,エレキベース,E-Basses,basse électrique
3451,changing room,しちゃくしつ,Umkleide,cabine d'essayage
3452,trash bags,ゴミぶくろ,Müll,duo de sacs poubelle
3453,cypress plant,ゴールドクレスト,Zypresse,cyprès
3454,humidifier,かしつき,Luftbefeuchter,humidificateur
3455,ironing set,アイロン,Bügelset,set de repassage
3456,whirlpool bath,ジャグジー,Whirlpool,bain à remous
3457,simple kettle,ケトル,Teekessel,bouilloire standard
3458,kotatsu,こたつ,Heiztisch,kotatsu
3459,laptop,ノートパソコン,Notebook,ordinateur portable
3460,rocket lamp,スライムランプ,Lavalampe,lampe à lave
3461,box sofa,ボックスソファ,Sofa-Element,module de canapé
3462,box corner sofa,ボックスソファのコーナー,Sofa-Eckelement,angle de canapé
3463,stacked magazines,ざっしのたば,Magazinsammlung,lot de magazines
3464,menu chalkboard,メニューこくばん,Restauranttafel,tableau menu du jour
3465,desk mirror,おきかがみ,Tischspiegel,miroir de table
3466,mug,マグカップ,Tasse,mug
3467,grand piano,グランドピアノ,Konzertflügel,piano à queue
3468,plastic canister,ポリタンク,Kanister,jerrican
3469,rice cooker,すいはんき,Reiskocher,cuiseur de riz
3470,ring,ゆびわ,Verlobungsring,bague en diamant
3471,hourglass,すなどけい,Sanduhr,sablier
3472,autograph cards,しきし,Kalligrafie-Deko,série d'autographes
3473,wooden chair,もくせいチェア,Holzstuhl,chaise en bois
3474,toilet,ようしきトイレ,Toilette,WC
3475,ball,ボール,Ball,ballon
3476,chalkboard,こくばん,Tafel,tableau noir
3477,lecture-hall bench,こうぎしつのイス,Hörsaalbank,double siège d'amphi
3478,lecture-hall desk,こうぎしつのつくえ,Hörsaaltisch,table d'amphi
3479,director's chair,ディレクターズチェア,Regiestuhl,chaise réalisateur
3480,drinking fountain,みずのみば,Trinkbrunnen,fontaine-abreuvoir
3481,water pump,ておしポンプ,Wasserpumpe,pompe à eau
3482,tire toy,タイヤのゆうぐ,Reifenspielgerät,jeu en pneu
3483,solar panel,ソーラーパネル,Solaranlage,panneau solaire
3484,lighthouse,とうだい,Leuchtturm,phare
3485,parabolic antenna,パラボラアンテナ,Satellitenschüssel,parabole
3486,iron frame,てっこつ,Stahlträger,lot de poutres en fer
3487,double sofa,ダブルソファ,Doppelsofa,canapé deux places
3488,garbage can,ブリキのペール,Mülltonne,poubelle
3489,garbage pail,ペール,Abfalltonne,conteneur à ordures
3490,wooden-block chair,つみきチェア,Bauklotzstuhl,chaise blocs de bois
3491,pot,かめ,Topf,pot
3492,wooden chest,もくせいチェスト,Holzkommode,commode en bois
3493,floor lamp,フロアランプ,Stehlampe,lampe à pied
3494,candle,キャンドル,Kerze,bougeoir
3495,natural garden chair,ナチュラルなガーデンチェア,Funktional-Gartenstuhl,chaise de jardin naturelle
3496,tin bucket,ブリキのバケツ,Blecheimer,seau en métal
3497,juicy-apple TV,リンゴのテレビ,Apfelfernseher,télé pomme
3498,wooden simple bed,もくせいシングルベッド,Holzbett,lit en bois
3499,mountain bike,マウンテンバイク,Mountainbike,VTT
3500,refrigerator,れいぞうこ,Kühlschrank,réfrigérateur
3501,digital alarm clock,デジタルアラームどけい,Digitalwecker,réveille-matin électrique
3502,retro fan,レトロなせんぷうき,Retro-Ventilator,ventilateur rétro
3503,automatic washer,せんたくき,Toplader-Waschmaschine,lave-linge
3504,simple well,シンプルないど,Grundwasserbrunnen,puits simple
3505,chessboard,チェス,Schachbrett,échiquier
3506,round space heater,まるがたストーブ,Heizgerät,chauffage cylindrique
3507,fancy violin,ヴァイオリン,Edelgeige,violon haut de gamme
3508,squat toilet,わしきトイレ,Asien-Toilette,WC japonais
3509,tankless toilet,タンクレストイレ,Wand-WC,WC mural
3510,cooler box,クーラーボックス,Kühlbox,glacière
3511,gold bars,きんののべぼう,Goldbarrenstapel,pile de lingots
3512,tourist telescope,かんこうぼうえんきょう,Aussichtsfernrohr,télescope panoramique
3513,mini DIY workbench,ちいさなDIYさぎょうだい,Mini-Werkbank,mini-établi
3514,ironwood table,アイアンウッドテーブル,Eisen-Holz-Tisch,table en bois de fer
3515,ironwood chair,アイアンウッドチェア,Eisen-Holz-Stuhl,tabouret en bois de fer
3516,ironwood low table,アイアンウッドローテーブル,Eisen-Holz-Sofatisch,table basse en bois de fer
3517,ironwood cart,アイアンウッドワゴン,Eisen-Holz-Rollwagen,desserte en bois de fer
3518,ironwood dresser,アイアンウッドチェスト,Eisen-Holz-Kommode,commode en bois de fer
3519,ironwood bed,アイアンウッドベッド,Eisen-Holz-Bett,lit en bois de fer
3520,wooden-block stereo,つみきコンポ,Bauklotzanlage,hi-fi blocs de bois
3521,wooden-block toy,つみきのおもちゃ,Bauklotzset,jeu blocs de bois
3522,wooden-block wall clock,つみきウォールクロック,Bauklotzwanduhr,coucou blocs de bois
3523,clothesline,ものほしロープ,Simpel-Wäscheleine,corde à linge
3524,futon,ふとん,Futon-Schlafplatzes,futon traditionnel
3525,gas range,オーブンつきコンロ,Gasherd,gazinière
3526,LCD TV (50 in.),えきしょうテレビ 50インチ,50-Zoll-LCD-Fernseher,télé LED (50")
3527,ironwood kitchenette,アイアンウッドキッチン,Eisen-Holz-Spülschrank,kitchenette en bois de fer
3528,ironwood cupboard,アイアンウッドカップボード,Eisen-Holz-Küchenschrank,étagère en bois de fer
3529,ironwood clock,アイアンウッドクロック,Eisen-Holz-Wanduhr,horloge en bois de fer
3530,pop-up toaster,ポップアップトースター,Toaster,grille-pain électrique
3531,baby chair,まめイス,Babystuhl,chaise bambin
3532,digital scale,たいじゅうそくていき,Personenwaage,balance électronique
3533,LCD TV (20 in.),えきしょうテレビ 20インチ,20-Zoll-LCD-Fernseher,télé LED (20")
3534,deer decoration,しかのオブジェ,Holz-Rehkopf,trophée cerf
3535,steamer-basket set,せいろ,Dampfgarer,set de paniers vapeur
3536,lifeguard chair,ビーチのかんしだい,Bademeisterstuhl,siège de maître-nageur
3537,public bench,パブリックベンチ,Sitzgelegenheit,paire de chaises sur poutre
3538,plastic pool,ビニールプール,Planschbecken,piscine de jardin
3539,natural garden table,ナチュラルなガーデンテーブル,Funktional-Gartentisch,table de jardin naturelle
3540,stone table,いしのテーブル,Steintisch,table en pierre
3541,stone stool,いしのスツール,Steinhocker,tabouret en pierre
3542,intercom monitor,インターフォンモニター,Gegensprechanlage,interphone
3543,dish-drying rack,みずきりラック,Abtropfgestell,égouttoir à vaisselle
3544,beekeeper's hive,ようほうばこ,Bienenstock,ruche ouvragée
3545,katana,にほんとう,Katana,set de katanas
3546,small cardboard boxes,ひっこしダンボールS,Umzugskistenset (S),tas de cartons S
3547,medium cardboard boxes,ひっこしダンボールM,Umzugskistenset (M),tas de cartons M
3548,large cardboard boxes,ひっこしダンボールL,Umzugskistenset (L),tas de cartons L
3549,termite mound,アリづか,Termitenbau,termitière
3550,soft-serve lamp,ソフトクリームランプ,Softeis-Lampe,lampe cornet de glace
3551,wall-mounted TV (50 in.),かべかけテレビ 50インチ,50-Zoll-Wandfernseher,télé murale (50")
3552,playground gym,ジャングルジム,Spielplatzgerüst,cage à poules
3553,wall fan,かべかけせんぷうき,Wandventilator,ventilateur mural
3554,wooden wardrobe,もくせいクロゼット,Holzschrank,armoire en bois
3555,wooden end table,もくせいサイドテーブル,Holznachttisch,table de chevet en bois
3556,wooden table,もくせいテーブル,Holztisch,table en bois
3557,sturdy sewing box,さいほうばこ,Nähkästchen,boîte à couture
3558,sewing project,ソーイングセット,Nähset,nécessaire de couture
3559,wheelchair,くるまイス,Rollstuhl,fauteuil roulant
3560,standard umbrella stand,かさたて,Regenschirmständer,porte-parapluie
3561,western-style stone,ようふうのはかいし,Grabstein,pierre tombale
3562,wooden stool,もくせいスツール,Holzschemel,tabouret en bois
3563,tea set,ティーセット,Teeservice,service à thé
3564,beach towel,ビーチタオル,Strandtuch,serviette de plage
3565,switch,スイッチ,Multischalter,triple interrupteur
3566,golden toilet,おうごんのトイレ,Goldtoilette,WC d'or
3567,golden seat,おうごんのベンチ,Goldsitzes,banquette d'or
3568,wooden waste bin,もくせいのくずかご,Holz-Abfalleimer,poubelle en bois
3569,frozen table,こおりのテーブル,Eistisch,table arctique
3570,frozen partition,こおりのパーテーション,Eis-Trennwand,panneau arctique
3571,frozen arch,こおりのアーチ,Eistor,arche arctique
3572,frozen pillar,こおりのはしら,Eissäule,pilier arctique
3573,frozen sculpture,こおりのアート,Eisskulptur,sculpture arctique
3574,frozen bed,こおりのベッド,Eisbett,lit arctique
3575,frozen chair,こおりのイス,Eisstuhl,chaise arctique
3576,frozen tree,こおりのツリー,Eisbaum,arbre arctique
3577,frozen counter,こおりのカウンター,Eistresen,comptoir arctique
3578,garden bench,ガーデンベンチ,Gartenbank,banc de parc
3579,bamboo shelf,たけのシェルフ,Bambusregal,étagère en bambou
3580,bamboo partition,たけのスクリーン,Bambus-Wandschirm,paravent en bambou
3581,bamboo candleholder,たけのキャンドルホルダー,Bambus-Kerzenhalter,bougeoir en bambou
3582,bamboo doll,たけのビックリばこ,Bambus-Schachtelkobold,boîte à malice en bambou
3583,bamboo stopblock,たけのくるまどめ,Bambus-Absperrung,heurtoir en bambou
3584,bamboo floor lamp,たけのフロアスタンド,Bambus-Stehlampe,lampe de sol en bambou
3585,bamboo wall decoration,たけのいちりんざし,Bambusdekoration,déco murale en bambou
3586,iron wall lamp,アイアンウォールランプ,Eisenwandlampe,lampe murale en fer
3587,iron worktable,アイアンワークテーブル,Eisenarbeitstisch,établi en fer
3588,iron hanger stand,アイアンハンガースタンド,Eisengarderobe,portemanteau en fer
3589,iron wall rack,アイアンウォールラック,Eisenwandregal,étagère murale en fer
3590,iron shelf,アイアンシェルフ,Eisenregal,étagère en fer
3591,bonsai shelf,ぼんさいだな,Bonsai-Tisch,présentoir à bonsaïs
3592,fish-drying rack,ひもの,Dörrfisch,séchoir à poissons
3593,book,ほん,Buch,livre
3594,fishing-boat flag,たいりょうき,Fischerbootflagge,drapeau de pêche
3595,writing poster,がくしゅうポスター,Lern-Poster,poster d'études
3596,magazine,ざっし,Magazin,magazine
3597,fishing-rod stand,ロッドスタンド,Angelrutenhalter,présentoir cannes à pêche
3598,signpost,みちしるべ,Wegweiser,panneau de direction
3599,desktop computer,デスクトップPC,Desktop-PC,ordinateur de bureau
3600,birthday candles,バースデーキャンドル,Geburtstagsdeko,lot bougies d'anniversaire
3601,birthday cake,バースデーケーキ,Geburtstagstorte,gâteau d'anniversaire
3602,birthday table,バースデーテーブル,Geburtstagstisch,table d'anniversaire
3603,birthday sign,バースデーボード,Geburtstagsschild,panneau d'anniversaire
3604,park clock,こうえんのとけい,Parkstanduhr,horloge publique
3605,pool,プール,Schwimmbecken,piscine
3606,open-frame kitchen,フレームキッチン,Gastro-Küche,kitchenette en acier
3607,system kitchen,システムキッチン,Kochnische,kitchenette fonctionnelle
3608,stall,やたい,Verkaufsstand,stand
3609,cutting board,カッティングボード,Schneidebrettes,planche à pain
3610,soup kettle,スープジャー,Suppenkessel,soupière électrique
3611,toy cockroach,おもちゃのゴキブリ,Spielzeugkakerlake,cafard en plastique
3612,loft bed with desk,ベッドデスク,Bettpult,lit mezzanine avec bureau
3613,floor seat,ざいす,Bodensitzes,chaise au sol
3614,toy box,おもちゃばこ,Spielzeugkiste,boîte à jouets
3615,cute bed,キュートなベッド,Bonbon-Bett,lit mimi
3616,oil lamp,アルコールランプ,Spirituslampe,lampe à pétrole
3617,bamboo basket,たけのかご,Bambuskorb,corbeille en bambou
3618,cardboard box,ダンボール,Karton,boîte en carton
3619,hay bed,ほしくさのベッド,Strohbett,lit de paille
3620,piano bench,ピアノのイス,Klavierbank,banquette de piano
3621,plain sink,そぼくなせんめんだい,Holzwaschtisch,lavabo simple
3622,coconut juice,ココナッツジュース,Kokosnusswasser,jus de coco
3623,sauna heater,サウナストーブ,Saunaofen,poêle de sauna
3624,plain wooden shop sign,そぼくなもくせいかんばん,Holzschild,pancarte
3625,portable radio,けいたいラジオ,Taschenradio,radio portable
3626,fish print,ぎょたく,Fisch-Abklatschdruck,ichtyogramme
3627,writing desk,がくしゅうデスク,Lern-Schreibtisch,bureau d'études
3628,writing chair,がくしゅうチェア,Lern-Stuhl,chaise d'études
3629,golden candlestick,おうごんのしょくだい,Goldkerzenhalter,chandelier d'or
3630,terrarium,テラリウム,Terrarium,terrarium
3631,Libra scale,リブラのてんびん,Balkenwaage,Balance à plateaux
3632,hanging terrarium,ハンギングテラリウム,Hänge-Terrarium,terrarium suspendu
3633,brick well,レンガのいど,Ziegelsteinbrunnen,puits en briques
3634,den desk,しょさいのつくえ,Studierzimmertisch,bureau ministre
3635,den chair,しょさいのイス,Studierzimmerdrehstuhl,fauteuil ministre
3636,potted ivy,かべかけのはっぱ,Efeu-Topfpflanze,lierre en pot
3637,pine bonsai tree,マツのぼんさい,Kiefern-Bonsai,bonsaï pin japonais
3638,mush parasol,キノコのパラソル,Pilzschirm,parasol champi
3639,mush partition,キノコのスクリーン,Pilzwandschirm,paravent champi
3640,mush log,キノコのげんぼく,Pilzbaumstumpfes,rondin champi
3641,golden dishes,おうごんのしょっき,Goldgeschirr,vaisselle d'or
3642,streetlamp,がいとう,Straßenlampe,réverbère
3643,spider web,クモのす,Spinnennetzes,toile d'araignée
3644,pennant,ペナント,Wimpel,fanion
3645,oil-barrel bathtub,ドラムかんぶろ,Ölfassbad,baignoire baril de pétrole
3646,fan,せんぷうき,Ventilator,ventilateur
3647,air circulator,サーキュレーター,Luftzirkulator,circulateur d'air
3648,pro tape recorder,オープンリールデッキ,Profi-Tonbandgerätes,magnétophone à bobines
3649,ironwood DIY workbench,アイアンウッドDIYテーブル,Eisen-Holz-Werkbank,établi en bois de fer
3650,outdoor table,アウトドアテーブル,Campingtisch,table d'extérieur
3651,outdoor bench,アウトドアベンチ,Campingbank,banquette d'extérieur
3652,accessories stand,アクセサリースタンド,Schmuckstand,présentoir à bijoux
3653,anthurium plant,アンスリウム,Flamingoblume,anthurium
3654,antique chair,アンティークなイス,Antikstuhl,chaise ancienne
3655,antique console table,アンティークなコンソール,Antikschreibtisch,console ancienne
3656,antique table,アンティークなテーブル,Antiktisch,table ancienne
3657,antique phone,アンティークなでんわ,Antiktelefon,téléphone ancien
3658,antique clock,アンティークなとけい,Antikstanduhr,horloge ancienne
3659,antique vanity,アンティークなドレッサー,Antikfrisiertisch,coiffeuse ancienne
3660,antique bureau,アンティークなビューロ,Antiksekretär,bureau ancien
3661,antique bed,アンティークなベッド,Antikbett,lit ancien
3662,antique mini table,アンティークなミニテーブル,Antiktischchen,guéridon ancien
3663,antique wardrobe,アンティークなワードローブ,Antikschrank,armoire ancienne
3664,handy water cooler,ウォータージャグ,Wasserkühler,distributeur d'eau fraîche
3665,fortune-telling set,うらないセット,Wahrsage-Set,set de divination
3666,inflatable sofa,エアーソファ,Aufblas-Sofa,hamac gonflable
3667,film projector,えいしゃき,Filmprojektor,projecteur de cinéma
3668,painting set,おえかきセット,Malset,set de peinture
3669,big festive tree,おおきなクリスマスツリー,Tannenbaum,grand sapin décoré
3670,broom and dustpan,ほうきとちりとり,Kehrset,kit de balayage
3671,homework set,おべんきょうセット,Hausaufgaben-Set,lot livres scolaires
3672,toy centipede,おもちゃのムカデ,Spielzeug-Hundertfüßer,mille-pattes en plastique
3673,imperial decorative shelves,オリエンタルなかざりだな,Asienregal,étagère impériale
3674,imperial partition,オリエンタルなスクリーン,Asienwandschirm,paravent impérial
3675,imperial chest,オリエンタルなチェスト,Asienkommode,commode impériale
3676,imperial bed,オリエンタルなベッド,Asienbett,lit impérial
3677,imperial low table,オリエンタルなローテーブル,Asiensofatisch,table basse impériale
3678,orange end table,オレンジのサイドテーブル,Orange-Tischchen,guéridon orange
3679,orange wall-mounted clock,オレンジのかべかけどけい,Orange-Wanduhr,horloge murale orange
3680,shell arch,かいがらのアーチ,Muscheltor,arche coquillages
3681,shell partition,かいがらのスクリーン,Muschel-Wandschirm,paravent coquillages
3682,shell stool,かいがらのスツール,Muschelhocker,siège coquillages
3683,shell table,かいがらのテーブル,Muscheltisch,table coquillages
3684,shell fountain,かいがらのふんすい,Muschel-Springbrunnen,fontaine coquillages
3685,shell bed,かいがらのベッド,Muschelbett,lit coquillages
3686,shell lamp,かいがらのランプ,Muschellampe,lampe coquillages
3687,wall-mounted TV (20 in.),かべかけテレビ 20インチ,20-Zoll-Wandfernseher,télé murale (20")
3688,wall-mounted phone,かべかけでんわ,Wandtelefon,téléphone mural
3689,festive tree,かわいいクリスマスツリー,Tannenbäumchen,sapin décoré
3690,key holder,キーハンガー,Schlüsselbrett,panneau à clés
3691,analog kitchen scale,キッチンスケール,Analog-Küchenwaage,balance de cuisine
3692,cute DIY table,キュートなDIYテーブル,Bonbon-Werkbank,table de bricolage mimi
3693,cute wall-mounted clock,キュートなかべかけどけい,Bonbon-Wanduhr,horloge murale mimi
3694,cute wardrobe,キュートなクロゼット,Bonbon-Schrank,armoire mimi
3695,cute sofa,キュートなソファ,Bonbon-Sofa,canapé mimi
3696,cute chair,キュートなチェア,Bonbon-Stuhl,chaise mimi
3697,cute tea table,キュートなティーテーブル,Bonbon-Tisch,table ronde mimi
3698,cute vanity,キュートなドレッサー,Bonbon-Frisiertisch,coiffeuse mimi
3699,cute floor lamp,キュートなフロアランプ,Bonbon-Stehlampe,lampe à pied mimi
3700,cute music player,キュートなオーディオプレーヤー,Bonbon-CD-Spieler,lecteur audio mimi
3701,climbing wall,クライミングウォール,Kletterwand,mur d'escalade
3702,kettle bathtub,ごえもんぶろ,Kesselbades,baignoire marmite
3703,cordless phone,コードレスでんわ,Schnurlostelefon,téléphone sans fil
3704,cherry speakers,さくらんぼのスピーカー,Kirschenlautsprecher,haut-parleur cerise
3705,cherry lamp,さくらんぼのランプ,Kirschenlampe,lampe cerise
3706,punching bag,サンドバッグ,Sandsack,sac de frappe
3707,folding floor lamp,アームのフロアランプ,Flexi-Stehlampe,lampe de sol articulée
3708,shower booth,シャワーブース,Duschkabine,cabine de douche
3709,lab-experiments set,じっけんセット,Laborset,kit de chimie
3710,shower set,シャワーセット,Duschset,colonne de douche
3711,stand mixer,スタンドミキサー,Rührmaschine,robot de cuisine
3712,pants press,ズボンプレッサー,Hosenbügler,presse-pantalon
3713,unglazed dish set,すやきのしょっき,Keramikgeschirr,vaisselle en terracotta
3714,utility sink,スロップシンク,Spüle,évier utilitaire
3715,floral swag,スワッグ,Blumengebinde,bouquet mural
3716,retro radiator,セントラルヒーティング,Heizung,chauffage central
3717,rotary phone,ダイヤルしきでんわ,Wählscheibentelefon,téléphone à cadran
3718,bathroom towel rack,タオルラック,Handtuchhalter,porte-serviettes mural
3719,traditional tea set,チャイニーズティーセット,Gong-Fu-Teeservice,service à thé traditionnel
3720,scattered papers,ちらばったかみ,Papierchaos,tas de papiers
3721,log garden lounge,まるたのガーデンベッド,Baumstammliegestuhl,chaise longue tronc
3722,log decorative shelves,まるたのかざりだな,Baumstammregal,étagère tronc
3723,log wall-mounted clock,まるたのかべかけどけい,Baumstammwanduhr,horloge murale tronc
3724,log stool,まるたのスツール,Baumstammhocker,tabouret tronc
3725,log sofa,まるたのソファ,Baumstammsessel,siège tronc
3726,log dining table,まるたのダイニングテーブル,Baumstamm-Esstisch,table tronc
3727,log bed,まるたのベッド,Baumstammbett,lit tronc
3728,log bench,まるたのベンチ,Baumstammbank,banc tronc
3729,log round table,まるたのラウンドテーブル,Baumstammtisch,table basse tronc
3730,log extra-long sofa,まるたのロングソファ,Baumstammsofa,canapé long tronc
3731,rattan waste bin,ラタンのくずかご,Flecht-Papierkorb,poubelle jonc
3732,rattan end table,ラタンのサイドテーブル,Flechttischchen,guéridon jonc
3733,rattan stool,ラタンのスツール,Flechthocker,tabouret jonc
3734,rattan towel basket,ラタンのタオルバスケット,Flecht-Handtuchkorb,panier de serviettes jonc
3735,rattan wardrobe,ラタンのクロゼット,Flechtschrank,armoire jonc
3736,rattan table lamp,ラタンのテーブルランプ,Flecht-Tischlampe,lampe jonc
3737,rattan vanity,ラタンのドレッサー,Flechtfrisiertisch,coiffeuse jonc
3738,rattan bed,ラタンのベッド,Flechtbett,lit jonc
3739,rattan armchair,ラタンのソファ,Flechtsessel,fauteuil jonc
3740,rattan low table,ラタンのローテーブル,Flecht-Sofatisch,table basse jonc
3741,illuminated tree,ツリーのイルミネーション,Leuchtbaum,sapin illuminé
3742,tabletop festive tree,テーブルクリスマスツリー,Tischtannenbaum,sapin décoré miniature
3743,table setting,テーブルセッティング,Tischgedeck,service de table
3744,table lamp,テーブルランプ,Tischlampe,lampe de table
3745,street organ,てまわしオルガン,Drehorgel,orgue de barbarie
3746,electronics kit,でんしこうさくセット,Elektronikset,kit d'électronique
3747,toilet-cleaning set,トイレそうじセット,Toilettenset,kit du petit coin
3748,classic pitcher,とうきのジャグ,Keramikkrug,cruche en terre
3749,illuminated reindeer,トナカイのイルミネーション,Leucht-Rentier,renne illuminé
3750,gong,どら,Gong,gong oriental
3751,nail-art set,ネイルアートセット,Nageldeko-Set,set de nail art
3752,party garland,パーティーのかざり,Party-Girlande,guirlande de fête
3753,barbell,バーベル,Langhantel,haltère
3754,long bathtub,バスタブ,Luxus-Badewanne,baignoire longue
3755,camping cot,キャンプベッド,Feldbett,lit de camping
3756,bamboo drum,バンブードラム,Bambustrommel,tambour à fentes bambou
3757,floating-biotope planter,ビオトープ,Balkonteich,biotope en pot
3758,bidet,ビデ,Bidet,bidet
3759,formal paper,ひょうしょうじょう,Zertifikat,certificat encadré
3760,fire pit,ファイヤーピット,Feuerkorb,brasero en inox
3761,fax machine,ファクシミリ,Faxgerät,fax
3762,poolside bed,プールサイドベッド,Sonnenliege,transat de piscine
3763,frying pan,フライパン,Pfanne,poêle à frire
3764,plasma ball,プラズマボール,Plasmalampe,lampe à plasma
3765,pendulum clock,ふりこどけい,Pendeluhr,horloge à balancier
3766,infused-water dispenser,フルーツウォーターサーバー,Obst-Wasserspender,distributeur d'eau fruitée
3767,illuminated present,プレゼントのイルミネーション,Leuchtgeschenk,cadeau illuminé
3768,double-door refrigerator,フレンチドアれいぞうこ,Side-by-Side-Kühlschrank,réfrigérateur américain
3769,essay set,ぶんごうセット,Schreibset,set d'écriture
3770,old-fashioned alarm clock,ベルつきアラームクロック,Glockenwecker,réveille-matin mécanique
3771,hose reel,ホースリール,Gartenschlauch,dévidoir
3772,tissue box,ボックスティッシュ,Taschentuchspender,boîte de mouchoirs
3773,whiteboard,ホワイトボード,Whiteboard,tableau blanc
3774,wood-burning stove,まきストーブ,Holzofen,poêle à bois
3775,magnetic knife rack,マグネットナイフラック,Magnet-Messerhalter,range-couteaux aimanté
3776,macrame tapestry,マクラメタペストリー,Makramee-Wandteppich,tapisserie en macramé
3777,marimba,マリンバ,Marimba,marimba
3778,cartoonist's set,まんがかセット,Comiczeichner-Set,set de dessinateur
3779,mini-cactus set,ミニサボテンセット,Zwergkaktus-Set,set de cactus
3780,wooden fish,もくぎょ,Holzblocktrommel,mokugyo
3781,wooden bookshelf,もくせいのほんだな,Holzbücherregal,bibliothèque en bois
3782,peach chair,モモのチェア,Pfirsichstuhl,fauteuil pêche
3783,peach surprise box,モモのビックリばこ,Überraschungspfirsich,boîte à malice pêche
3784,monstera,モンステラ,Fensterblattpflanze,monstera
3785,coconut wall planter,ヤシのウォールプランター,Kokosnuss-Wandkübel,pot mural noix de coco
3786,illuminated snowflakes,ゆきのイルミネーション,Leuchtschnee,set de flocons illuminés
3787,yucca,ユッカ,Yuccapalme,yucca
3788,double-sided wall clock,りょうめんウォールクロック,Doppelwanduhr,horloge murale double face
3789,apple chair,リンゴのチェア,Apfelstuhl,chaise pomme
3790,freezer,れいとうこ,Kühltruhe,congélateur
